Make,Model,Year,Emission (CO2 g/km)
Ford,Ranger,2020,370.5
Ford,Ranger,2020,370.5
Holden,Colorado,2020,382.5
Holden,Colorado,2020,382.5
Honda,CR-V,2020,290.5
Honda,CR-V,2020,290.5
Hyundai,i30,2020,258.5
Hyundai,i30,2020,258.5
Hyundai,Kona,2020,126.75
Hyundai,Kona,2020,126.75
Hyundai,Tucson,2020,306.75
Hyundai,Tucson,2020,306.75
Kia,Cerato,2020,288.5
Kia,Cerato,2020,288.5
Mazda,3,2020,259.5
Mazda,3,2020,259.5
Mazda,3,2020,242.5
Mazda,CX-3,2020,245
Mazda,CX-3,2020,245
Mazda,CX-5,2020,289.25
Mazda,CX-5,2020,289.25
Mazda,CX-5,2020,301.25
Mitsubishi,ASX,2020,315.5
Mitsubishi,ASX,2020,315.5
Mitsubishi,Outlander,2020,167.5
Mitsubishi,Outlander,2020,167.5
Mitsubishi,Triton,2020,376.75
Mitsubishi,Triton,2020,376.75
Nissan,X-Trail,2020,283
Nissan,X-Trail,2020,283
Subaru,Forester,2020,313.25
Subaru,Forester,2020,299.75
Toyota,Camry,2020,247.5
Toyota,Camry,2020,247.5
Toyota,Corolla,2020,200.25
Toyota,Corolla,2020,200.25
Toyota,Hilux,2020,401.75
Toyota,Hilux,2020,401.75
Toyota,Hilux,2020,395.75
Toyota,Landcruiser,2020,481.75
Toyota,Prado,2020,407.5
Toyota,Prado,2020,407.5
Toyota,RAV4,2020,231.5
Toyota,RAV4,2020,231.5
Toyota,RAV4,2020,236
Toyota,Yaris,2020,247.25
Volkswagen,Golf,2020,253.25
Volkswagen,Golf,2020,253.25
